Player,Stats_from,Age,MPG,PPG,PER,TOPG,PFG,2017_2018 Salary
Tyson Chandler,2016.0,33.0,24.515151515151516,7.151515151515151,14.7,1.4090909090909092,2.196969696969697,13.0
Rakeem Christmas,2016.0,24.0,6.0,4.0,32.0,0.0,1.0,0.172552
Ian Clark,2016.0,24.0,8.757575757575758,3.5757575757575757,11.5,0.6515151515151515,0.8787878787878788,1.57723
Jordan Clarkson,2016.0,23.0,32.30379746835443,15.50632911392405,14.3,1.7088607594936709,2.1265822784810124,11.5625
Darren Collison,2016.0,28.0,29.986486486486488,13.986486486486486,15.9,1.7567567567567568,1.9189189189189189,10.0
Nick Collison,2016.0,35.0,11.847457627118644,2.0847457627118646,7.7,0.847457627118644,1.8135593220338984,2.328652
Mike Conley,2016.0,28.0,31.446428571428573,15.303571428571429,19.4,1.5,1.7857142857142858,28.530608
Pat Connaughton,2016.0,23.0,4.205882352941177,1.0588235294117647,4.6,0.29411764705882354,0.17647058823529413,1.471382
DeMarcus Cousins,2016.0,25.0,34.55384615384615,26.892307692307693,23.6,3.830769230769231,3.6307692307692307,18.06385
Robert Covington,2016.0,25.0,28.402985074626866,12.805970149253731,13.2,2.1343283582089554,3.462686567164179,16.698103
Allen Crabbe,2016.0,23.0,25.987654320987655,10.271604938271604,12.2,0.7901234567901234,2.3703703703703702,19.3325
Jamal Crawford,2016.0,35.0,26.911392405063292,14.177215189873417,14.0,1.4303797468354431,1.5443037974683544,10.942762
Jae Crowder,2016.0,25.0,31.616438356164384,14.219178082191782,15.8,1.1369863013698631,2.712328767123288,6.796117
Dante Cunningham,2016.0,28.0,24.6375,6.05,8.6,0.5125,2.1625,2.3
Seth Curry,2016.0,25.0,15.727272727272727,6.795454545454546,13.8,0.8181818181818182,0.9318181818181818,3.02841
Stephen Curry,2016.0,27.0,34.177215189873415,30.063291139240505,31.5,3.3164556962025316,2.037974683544304,34.68255
Troy Daniels,2016.0,24.0,11.069767441860465,5.627906976744186,14.9,0.5581395348837209,0.9302325581395349,3.40852
Anthony Davis,2016.0,22.0,35.47540983606557,24.278688524590162,25.0,1.9836065573770492,2.4262295081967213,23.775506
Ed Davis,2016.0,26.0,20.790123456790123,6.493827160493828,18.7,0.7901234567901234,2.493827160493827,6.352531
Dewayne Dedmon,2016.0,26.0,12.155172413793103,4.396551724137931,17.0,0.5517241379310345,1.8793103448275863,6.0
Sam Dekker,2016.0,21.0,2.0,0.0,10.8,0.0,0.0,1.7946
Matthew Dellavedova,2016.0,25.0,24.56578947368421,7.4868421052631575,11.3,1.5263157894736843,2.3421052631578947,9.6075
Luol Deng,2016.0,30.0,32.351351351351354,12.31081081081081,15.0,1.0945945945945945,1.6486486486486487,17.19
DeMar DeRozan,2016.0,26.0,35.94871794871795,23.46153846153846,21.5,2.2435897435897436,2.141025641025641,27.739975
Gorgui Dieng,2016.0,26.0,27.073170731707318,10.085365853658537,17.1,1.7073170731707317,2.6707317073170733,14.11236
Spencer Dinwiddie,2016.0,22.0,13.25,4.833333333333333,8.9,0.5833333333333334,1.6666666666666667,1.524305
Goran Dragic,2016.0,29.0,32.81944444444444,14.13888888888889,15.5,2.5694444444444446,2.611111111111111,17.00045
Andre Drummond,2016.0,22.0,32.91358024691358,16.22222222222222,21.2,1.9135802469135803,3.0246913580246915,23.775506
Jared Dudley,2016.0,30.0,25.901234567901234,7.8765432098765435,11.7,0.9876543209876543,2.345679012345679,10.0
Tim Duncan,2016.0,39.0,25.18032786885246,8.557377049180328,16.9,1.4754098360655739,2.0491803278688523,1.88125
Mike Dunleavy,2016.0,35.0,22.677419354838708,7.161290322580645,9.1,0.8387096774193549,2.129032258064516,1.6625
Kevin Durant,2016.0,27.0,35.80555555555556,28.180555555555557,28.2,3.4722222222222223,1.9027777777777777,25.0
Jarell Eddie,2016.0,24.0,5.653846153846154,2.423076923076923,11.0,0.038461538461538464,0.19230769230769232,0.083129
Wayne Ellington,2016.0,28.0,21.25,7.7105263157894735,10.1,0.5921052631578947,1.0789473684210527,6.27
Monta Ellis,2016.0,30.0,33.75308641975309,13.839506172839506,13.7,2.506172839506173,2.1481481481481484,2.2454
James Ennis,2016.0,25.0,14.954545454545455,7.2272727272727275,17.8,0.8636363636363636,1.2727272727272727,3.02841
Tyler Ennis,2016.0,21.0,14.217391304347826,4.478260869565218,10.7,1.0,1.391304347826087,1.524305
Jeremy Evans,2016.0,28.0,8.366666666666667,2.3666666666666667,12.6,0.23333333333333334,0.6333333333333333,0.05
Tyreke Evans,2016.0,26.0,30.6,15.16,17.9,2.92,2.64,3.29
Festus Ezeli,2016.0,26.0,16.73913043478261,6.956521739130435,17.7,0.8260869565217391,2.0434782608695654,0.333334
Kenneth Faried,2016.0,26.0,25.28358208955224,12.462686567164178,21.0,1.3582089552238805,2.5223880597014925,12.921348
Jordan Farmar,2016.0,29.0,24.25,9.166666666666666,13.2,1.5,1.8333333333333333,0.510921
Derrick Favors,2016.0,24.0,31.983870967741936,16.387096774193548,21.6,1.6774193548387097,2.4193548387096775,12.0
Cristiano Felicio,2016.0,23.0,10.35483870967742,3.3870967741935485,17.6,0.41935483870967744,1.0,7.8435
Raymond Felton,2016.0,31.0,27.4,9.5375,11.9,1.5125,1.7625,2.328652
Evan Fournier,2016.0,23.0,32.48101265822785,15.354430379746836,14.6,1.6835443037974684,2.7088607594936707,17.0
Tim Frazier,2016.0,25.0,14.529411764705882,5.117647058823529,13.9,1.2745098039215685,1.4313725490196079,2.0
Channing Frye,2016.0,32.0,17.142857142857142,6.071428571428571,12.9,0.6142857142857143,1.8142857142857143,7.420912
Danilo Gallinari,2016.0,27.0,34.698113207547166,19.547169811320753,19.0,1.4528301886792452,1.6415094339622642,20.559599
Langston Galloway,2016.0,24.0,24.79268292682927,7.621951219512195,11.7,0.7439024390243902,2.158536585365854,6.666667
Marc Gasol,2016.0,31.0,34.44230769230769,16.557692307692307,17.7,2.269230769230769,2.7115384615384617,22.64235
Pau Gasol,2016.0,35.0,31.819444444444443,16.48611111111111,21.7,2.2777777777777777,2.0555555555555554,16.0
Rudy Gay,2016.0,29.0,33.98571428571429,17.2,15.5,1.9857142857142858,2.6285714285714286,8.406
Paul George,2016.0,25.0,34.80246913580247,23.135802469135804,20.9,3.271604938271605,2.8395061728395063,19.508958
Taj Gibson,2016.0,30.0,26.52054794520548,8.58904109589041,15.7,1.0684931506849316,2.4657534246575343,14.0
Manu Ginobili,2016.0,38.0,19.551724137931036,9.568965517241379,17.8,1.706896551724138,1.706896551724138,2.5
Rudy Gobert,2016.0,23.0,31.672131147540984,9.131147540983607,17.5,1.8688524590163935,2.6721311475409837,21.974719
Aaron Gordon,2016.0,20.0,23.884615384615383,9.217948717948717,17.0,0.8461538461538461,1.9615384615384615,5.50442
Eric Gordon,2016.0,27.0,32.91111111111111,15.244444444444444,13.5,1.6222222222222222,2.1777777777777776,12.94302
Marcin Gortat,2016.0,31.0,30.08,13.493333333333334,19.0,1.6133333333333333,2.5733333333333333,12.782609
Jerami Grant,2016.0,21.0,26.83116883116883,9.727272727272727,12.6,1.4285714285714286,2.792207792207792,1.524305
Jerian Grant,2016.0,23.0,16.644736842105264,5.605263157894737,11.2,1.144736842105263,1.2763157894736843,1.71384
